player_id,player_nick
16397,Czapel
14007,tudsoN
18053,broky
8613,fAst
3410,ROBO
1154,roman
1200,hitMouse
15644,Art1st
15934,voidex
12754,1mpala
284,JaCkz
15120,JiNKZ
13497,Lucky
8138,Davidp
13138,Maka
10981,mantuu
10980,DuDe
9587,Reita
9584,ashley
9586,Micke
9588,Ao
9580,ZeAL
9582,LYK
9581,k5ANA
9579,Lusty
9583,Ray
16415,supra
7794,Egor K.
12734,Heyz1ng
15350,Messias
1888,zypath
13753,Coronaz
12051,Brathe Ø
13750,cleMeNz0
5288,miNd
13856,KFIVE
13857,KeyziN
7392,akeR
146,Ozstrik3r
162,kuben
163,Loord
14273,iDISBALANCE
18469,sarenii
12085,waffe
12086,HUGHMUNGUS
12574,yorimato
13328,Naomi
19799,Natty
13325,athxna
20179,MDCI
20180,LunarKats
13326,Bouchard
20173,Kimmy
13680,smiLey
16351,exhile
16355,ri_ri
9271,sLowi
18558,jemi
19686,n1ssim
16954,yepz
13948,Mistercap
12526,LooPeR
12525,cazze
9522,kani
13949,sKINEE
11540,kAyle
14307,SeokE
9387,crazyguy
8955,J0hnnyP
8090,TuKoN
17277,guidimon
20268,ataraXia
11759,arieldidi
15688,MRN1
19318,kary
18553,fakzwall
15233,jotti
17866,PREDI
20011,bichop
17869,BerSeCkaZo
8953,Sys
8952,FrostMisty
8951,roseau
13661,zxczxc
10767,Tsukamoto
13662,Foscmorc
9804,Gruvee
13660,avnrmaestro
7600,MetaL
8193,waneG
9653,wallax
12159,Gauthierlelelele
12157,EMYOR
646,kalle
9118,mizu
10586,sonic
12573,pan1K
10587,InfrequeNt
17368,curry
15839,Xeppaa
18208,penny
17939,leaf
12025,bodyaN
14498,Forp
13273,Ace
11064,dazzLe
8599,Karsa
19681,ChildKing
16551,Westmelon
16552,Aree
18744,z4kr
19885,XinKoiNg
9806,rtA
10096,HooXi
13657,ad3m
15431,shinshin7
10441,KwNN
10442,SkurkN
10444,sunshine
7039,EMD
10039,JESMUND
8353,HiSTELI
10437,henkka
9634,cozeh
662,peri
175,termi
18752,kade0
19236,KENSI
19191,mizzy
13056,moop
14290,SkulL
17392,rekonz
19919,guag
14505,ekul
12875,dangeR
17402,bedonka
19114,Kylar
15726,nawrot
17504,KEi
11276,Markoś
9568,MOLSI
11162,Hatz
13054,zeph
9102,Sico
11132,avg
7448,mouseTT
14167,vitosh
8259,neathz
16945,mirac1e
12016,svyat
12744,nomercy
12266,Desmond
12265,spyrox
12268,Sa1
12267,ozy
12033,Qulon
12035,Ou7bReaK
8787,norison
12034,etl
11355,QKA
11574,xiaosaGe
10187,Stevie
12957,JimmyL
11155,Fluyr
11149,nch
10500,sheep
11148,coMplot
9294,NaToSaphiX
16859,shokz
7910,fejtZ
15096,grux
10234,HiDDEN
10235,xb
10302,d1sappear
10236,WyCloud
10233,Contrail
10193,f1sh
10191,fokingM
7299,Powell
